SR Text,Conditions,Actions,Role,Keywords,Current Paragraph,Previous Paragraph,Next Paragraph,Section Number,Section Title,Section Level,Paragraph Index,Sentence Index,status_code,field_name,content_coding,method,syntax,class,First_Keyword
A sender MUST NOT generate a trailer field unless the sender knows the corresponding header field name's definition permits the field to be sent in trailers.,When a sender is about to generate a trailer field without confirmed knowledge that the corresponding header field name's definition permits the field to be sent in trailers.,The sender MUST NOT generate a trailer field unless the sender knows the corresponding header field name's definition permits the field to be sent in trailers.,Sender,MUST NOT,"Many fields cannot be processed outside the header section because their evaluation is necessary prior to receiving the content, such as those that describe message framing, routing, authentication, request modifiers, response controls, or content format. A sender MUST NOT generate a trailer field unless the sender knows the corresponding header field name's definition permits the field to be sent in trailers.","A trailer section is only possible when supported by the version of HTTP in use and enabled by an explicit framing mechanism. For example, the chunked transfer coding in HTTP/1.1 allows a trailer section to be sent after the content (Section 7.1.2 of [HTTP/1.1]).","Trailer fields can be difficult to process by intermediaries that forward messages from one protocol version to another. If the entire message can be buffered in transit, some intermediaries could merge trailer fields into the header section (as appropriate) before it is forwarded. However, in most cases, the trailers are simply discarded. A recipient MUST NOT merge a trailer field into a header section unless the recipient understands the corresponding header field definition and that definition explicitly permits and defines how trailer field values can be safely merged.",6.5.1,Limitations on Use of Trailers,3,2,2,,trailer,,,,,MUST
A recipient MUST NOT merge a trailer field into a header section unless the recipient understands the corresponding header field definition and that definition explicitly permits and defines how trailer field values can be safely merged.,"When a recipient considers merging a trailer field into a header section and may lack explicit understanding of the corresponding header field’s definition, or the definition does not explicitly permit and define safe merging.",The recipient MUST NOT merge a trailer field into a header section unless it understands the corresponding header field’s definition and that definition explicitly permits and defines how trailer field values can be safely merged.,Recipient,MUST NOT,"Trailer fields can be difficult to process by intermediaries that forward messages from one protocol version to another. If the entire message can be buffered in transit, some intermediaries could merge trailer fields into the header section (as appropriate) before it is forwarded. However, in most cases, the trailers are simply discarded. A recipient MUST NOT merge a trailer field into a header section unless the recipient understands the corresponding header field definition and that definition explicitly permits and defines how trailer field values can be safely merged.","Many fields cannot be processed outside the header section because their evaluation is necessary prior to receiving the content, such as those that describe message framing, routing, authentication, request modifiers, response controls, or content format. A sender MUST NOT generate a trailer field unless the sender knows the corresponding header field name's definition permits the field to be sent in trailers.","The presence of the keyword ""trailers"" in the TE header field (Section 10.1.4) of a request indicates that the client is willing to accept trailer fields, on behalf of itself and any downstream clients. For requests from an intermediary, this implies that all downstream clients are willing to accept trailer fields in the forwarded response. Note that the presence of ""trailers"" does not mean that the client(s) will process any particular trailer field in the response; only that the trailer section(s) will not be dropped by any of the clients.",6.5.1,Limitations on Use of Trailers,3,3,4,,trailer,,,,,MUST
"Because of the potential for trailer fields to be discarded in transit, a server SHOULD NOT generate trailer fields that it believes are necessary for the user agent to receive.",The potential for trailer fields to be discarded in transit.,The server SHOULD NOT generate trailer fields that it believes are necessary for the user agent to receive.,Server,SHOULD NOT,"Because of the potential for trailer fields to be discarded in transit, a server SHOULD NOT generate trailer fields that it believes are necessary for the user agent to receive.","The presence of the keyword ""trailers"" in the TE header field (Section 10.1.4) of a request indicates that the client is willing to accept trailer fields, on behalf of itself and any downstream clients. For requests from an intermediary, this implies that all downstream clients are willing to accept trailer fields in the forwarded response. Note that the presence of ""trailers"" does not mean that the client(s) will process any particular trailer field in the response; only that the trailer section(s) will not be dropped by any of the clients.",,6.5.1,Limitations on Use of Trailers,3,5,1,,trailer,,,,,SHOULD
Trailer fields that might be generated more than once during a message MUST be defined as a list-based field even if each member value is only processed once per field line received.,Trailer fields that might be generated more than once during a message,Trailer fields MUST be defined as a list-based field even if each member value is only processed once per field line received,Recipient,MUST,"Like header fields, trailer fields with the same name are processed in the order received; multiple trailer field lines with the same name have the equivalent semantics as appending the multiple values as a list of members. Trailer fields that might be generated more than once during a message MUST be defined as a list-based field even if each member value is only processed once per field line received.","The ""Trailer"" header field (Section 6.6.2) can be sent to indicate fields likely to be sent in the trailer section, which allows recipients to prepare for their receipt before processing the content. For example, this could be useful if a field name indicates that a dynamic checksum should be calculated as the content is received and then immediately checked upon receipt of the trailer field value.","At the end of a message, a recipient MAY treat the set of received trailer fields as a data structure of name/value pairs, similar to (but separate from) the header fields. Additional processing expectations, if any, can be defined within the field specification for a field intended for use in trailers.",6.5.2,Processing Trailer Fields,3,2,2,,Trailer,,,,,MUST
"At the end of a message, a recipient MAY treat the set of received trailer fields as a data structure of name/value pairs, similar to (but separate from) the header fields.",At the end of a message,"The recipient MAY treat the set of received trailer fields as a data structure of name/value pairs, similar to (but separate from) the header fields",Recipient,MAY,"At the end of a message, a recipient MAY treat the set of received trailer fields as a data structure of name/value pairs, similar to (but separate from) the header fields. Additional processing expectations, if any, can be defined within the field specification for a field intended for use in trailers.","Like header fields, trailer fields with the same name are processed in the order received; multiple trailer field lines with the same name have the equivalent semantics as appending the multiple values as a list of members. Trailer fields that might be generated more than once during a message MUST be defined as a list-based field even if each member value is only processed once per field line received.",,6.5.2,Processing Trailer Fields,3,3,1,,trailer,,,,,MAY
A sender that generates a Date header field SHOULD generate its field value as the best available approximation of the date and time of message generation.,When a sender generates a Date header field,The sender SHOULD generate the field value as the best available approximation of the date and time of message generation.,Sender,SHOULD,"A sender that generates a Date header field SHOULD generate its field value as the best available approximation of the date and time of message generation. In theory, the date ought to represent the moment just before generating the message content. In practice, a sender can generate the date value at any time during message origination.","Date: Tue, 15 Nov 1994 08:12:31 GMT","An origin server with a clock (as defined in Section 5.6.7) MUST generate a Date header field in all 2xx (Successful), 3xx (Redirection), and 4xx (Client Error) responses, and MAY generate a Date header field in 1xx (Informational) and 5xx (Server Error) responses.",6.6.1,Date,3,4,1,,Date,,,,,SHOULD
"An origin server with a clock (as defined in Section 5.6.7) MUST generate a Date header field in all 2xx (Successful), 3xx (Redirection), and 4xx (Client Error) responses, and MAY generate a Date header field in 1xx (Informational) and 5xx (Server Error) responses.","An origin server that has a clock and is generating a response with a status code in the 2xx, 3xx, or 4xx range.,An origin server that has a clock and is generating a response with a status code in the 1xx or 5xx range.","For responses with status codes 2xx, 3xx, and 4xx, the origin server MUST generate a Date header field.,For responses with status codes 1xx and 5xx, the origin server MAY generate a Date header field.",Origin Server,"MUST, MAY","An origin server with a clock (as defined in Section 5.6.7) MUST generate a Date header field in all 2xx (Successful), 3xx (Redirection), and 4xx (Client Error) responses, and MAY generate a Date header field in 1xx (Informational) and 5xx (Server Error) responses.","A sender that generates a Date header field SHOULD generate its field value as the best available approximation of the date and time of message generation. In theory, the date ought to represent the moment just before generating the message content. In practice, a sender can generate the date value at any time during message origination.",An origin server without a clock MUST NOT generate a Date header field.,6.6.1,Date,3,5,1,"1xx,2xx,3xx,4xx,5xx","Date,Server",,,,,MUST
An origin server without a clock MUST NOT generate a Date header field.,An origin server without a clock,MUST NOT generate a Date header field,Origin Server,MUST NOT,An origin server without a clock MUST NOT generate a Date header field.,"An origin server with a clock (as defined in Section 5.6.7) MUST generate a Date header field in all 2xx (Successful), 3xx (Redirection), and 4xx (Client Error) responses, and MAY generate a Date header field in 1xx (Informational) and 5xx (Server Error) responses.",A recipient with a clock that receives a response message without a Date header field MUST record the time it was received and append a corresponding Date header field to the message's header section if it is cached or forwarded downstream.,6.6.1,Date,3,6,1,,Date,,,,,MUST
A recipient with a clock that receives a response message without a Date header field MUST record the time it was received and append a corresponding Date header field to the message's header section if it is cached or forwarded downstream.,"The recipient has a clock and receives a response message without a Date header field,The response message is either cached or forwarded downstream","Record the time the response message was received,Append a corresponding Date header field to the message's header section",Recipient,MUST,A recipient with a clock that receives a response message without a Date header field MUST record the time it was received and append a corresponding Date header field to the message's header section if it is cached or forwarded downstream.,An origin server without a clock MUST NOT generate a Date header field.,A recipient with a clock that receives a response with an invalid Date header field value MAY replace that value with the time that response was received.,6.6.1,Date,3,7,1,,Date,,,,,MUST
A recipient with a clock that receives a response with an invalid Date header field value MAY replace that value with the time that response was received.,A recipient with a clock receives a response with an invalid Date header field value.,The recipient MAY replace the invalid Date header field value with the time that the response was received.,Recipient,MAY,A recipient with a clock that receives a response with an invalid Date header field value MAY replace that value with the time that response was received.,A recipient with a clock that receives a response message without a Date header field MUST record the time it was received and append a corresponding Date header field to the message's header section if it is cached or forwarded downstream.,"A user agent MAY send a Date header field in a request, though generally will not do so unless it is believed to convey useful information to the server. For example, custom applications of HTTP might convey a Date if the server is expected to adjust its interpretation of the user's request based on differences between the user agent and server clocks.",6.6.1,Date,3,8,1,,Date,,,,,MAY
A sender that intends to generate one or more trailer fields in a message SHOULD generate a Trailer header field in the header section of that message to indicate which fields might be present in the trailers.,A sender intends to generate one or more trailer fields in a message.,The sender SHOULD generate a Trailer header field in the header section of the message to indicate which fields might be present in the trailers.,Sender,SHOULD,A sender that intends to generate one or more trailer fields in a message SHOULD generate a Trailer header field in the header section of that message to indicate which fields might be present in the trailers.,"For example, a sender might indicate that a signature will be computed as the content is being streamed and provide the final signature as a trailer field. This allows a recipient to perform the same check on the fly as it receives the content.","If an intermediary discards the trailer section in transit, the Trailer field could provide a hint of what metadata was lost, though there is no guarantee that a sender of Trailer will always follow through by sending the named fields.",6.6.2,Trailer,3,3,1,,"Trailer,trailer",,,,,SHOULD
"When a field aside from Connection is used to supply control information for or about the current connection, the sender MUST list the corresponding field name within the Connection header field",A field (other than Connection) is used to supply control information for or about the current connection.,The sender MUST list the corresponding field name within the Connection header field.,Sender,MUST,"When a field aside from Connection is used to supply control information for or about the current connection, the sender MUST list the corresponding field name within the Connection header field. Note that some versions of HTTP prohibit the use of fields for such information, and therefore do not allow the Connection field.",Connection options are case-insensitive.,"Intermediaries MUST parse a received Connection header field before a message is forwarded and, for each connection-option in this field, remove any header or trailer field(s) from the message with the same name as the connection-option, and then remove the Connection header field itself (or replace it with the intermediary's own control options for the forwarded message).",7.6.1,Connection,3,3,1,,Connection,,,,,MUST
A recipient MAY ignore a Max-Forwards header field received with any other request methods.,A Max-Forwards header field is received with a request method other than TRACE or OPTIONS.,The recipient MAY ignore the received Max-Forwards header field.,Recipient,MAY,A recipient MAY ignore a Max-Forwards header field received with any other request methods.,"Each intermediary that receives a TRACE or OPTIONS request containing a Max-Forwards header field MUST check and update its value prior to forwarding the request. If the received value is zero (0), the intermediary MUST NOT forward the request; instead, the intermediary MUST respond as the final recipient. If the received Max-Forwards value is greater than zero, the intermediary MUST generate an updated Max-Forwards field in the forwarded message with a field value that is the lesser of a) the received value decremented by one (1) or b) the recipient's maximum supported value for Max-Forwards.",,7.6.2,Max-Forwards,3,4,1,,Max-Forwards,,,,,MAY
"A sender MAY generate comments to identify the software of each recipient, analogous to the User-Agent and Server header fields","When the sender is constructing the Via header field in an HTTP message for forwarding to recipients (i.e., during message processing where recipient information is included)","The sender MAY generate comments that identify the software of each recipient, analogous to the User-Agent and Server header fields",Sender,MAY,"A sender MAY generate comments to identify the software of each recipient, analogous to the User-Agent and Server header fields. However, comments in Via are optional, and a recipient MAY remove them prior to forwarding the message.","The received-by portion is normally the host and optional port number of a recipient server or client that subsequently forwarded the message. However, if the real host is considered to be sensitive information, a sender MAY replace it with a pseudonym. If a port is not provided, a recipient MAY interpret that as meaning it was received on the default port, if any, for the received-protocol.","For example, a request message could be sent from an HTTP/1.0 user agent to an internal proxy code-named ""fred"", which uses HTTP/1.1 to forward the request to a public proxy at p.example.net, which completes the request by forwarding it to the origin server at www.example.com. The request received by www.example.com would then have the following Via header field:",7.6.3,Via,3,6,1,,"Server,User-Agent",,,,,MAY
"However, comments in Via are optional, and a recipient MAY remove them prior to forwarding the message.",When a recipient is about to forward a message that contains the Via header field with optional comments,The recipient MAY remove the comments in the Via header prior to forwarding the message,Recipient,MAY,"A sender MAY generate comments to identify the software of each recipient, analogous to the User-Agent and Server header fields. However, comments in Via are optional, and a recipient MAY remove them prior to forwarding the message.","The received-by portion is normally the host and optional port number of a recipient server or client that subsequently forwarded the message. However, if the real host is considered to be sensitive information, a sender MAY replace it with a pseudonym. If a port is not provided, a recipient MAY interpret that as meaning it was received on the default port, if any, for the received-protocol.","For example, a request message could be sent from an HTTP/1.0 user agent to an internal proxy code-named ""fred"", which uses HTTP/1.1 to forward the request to a public proxy at p.example.net, which completes the request by forwarding it to the origin server at www.example.com. The request received by www.example.com would then have the following Via header field:",7.6.3,Via,3,6,2,,Via,,,,,MAY
A server MAY ignore a received Upgrade header field if it wishes to continue using the current protocol on that connection.,An Upgrade header field is received on the connection and the server chooses to continue using the current protocol.,The server MAY ignore the received Upgrade header field.,Server,MAY,"A client MAY send a list of protocol names in the Upgrade header field of a request to invite the server to switch to one or more of the named protocols, in order of descending preference, before sending the final response. A server MAY ignore a received Upgrade header field if it wishes to continue using the current protocol on that connection. Upgrade cannot be used to insist on a protocol change.","The ""Upgrade"" header field is intended to provide a simple mechanism for transitioning from HTTP/1.1 to some other protocol on the same connection.","Although protocol names are registered with a preferred case, recipients SHOULD use case-insensitive comparison when matching each protocol-name to supported protocols.",7.8,Upgrade,2,2,2,,Upgrade,,,,,MAY
"A server that sends a 101 (Switching Protocols) response MUST send an Upgrade header field to indicate the new protocol(s) to which the connection is being switched; if multiple protocol layers are being switched, the sender MUST list the protocols in layer-ascending order.",A server sends a 101 (Switching Protocols) response,"The server MUST send an Upgrade header field to indicate the new protocol(s) to which the connection is being switched,If multiple protocol layers are being switched, the sender MUST list the protocols in layer-ascending order",Server,MUST,"A server that sends a 101 (Switching Protocols) response MUST send an Upgrade header field to indicate the new protocol(s) to which the connection is being switched; if multiple protocol layers are being switched, the sender MUST list the protocols in layer-ascending order. A server MUST NOT switch to a protocol that was not indicated by the client in the corresponding request's Upgrade header field. A server MAY choose to ignore the order of preference indicated by the client and select the new protocol(s) based on other factors, such as the nature of the request or the current load on the server.","Although protocol names are registered with a preferred case, recipients SHOULD use case-insensitive comparison when matching each protocol-name to supported protocols.","A server that sends a 426 (Upgrade Required) response MUST send an Upgrade header field to indicate the acceptable protocols, in order of descending preference.",7.8,Upgrade,2,4,1,101,Upgrade,,,,,MUST
A server MUST NOT switch to a protocol that was not indicated by the client in the corresponding request's Upgrade header field.,When the server is initiating a protocol switch as indicated by the corresponding request's Upgrade header field.,The server MUST NOT switch to any protocol that was not indicated by the client in the corresponding request's Upgrade header field.,Server,MUST NOT,"A server that sends a 101 (Switching Protocols) response MUST send an Upgrade header field to indicate the new protocol(s) to which the connection is being switched; if multiple protocol layers are being switched, the sender MUST list the protocols in layer-ascending order. A server MUST NOT switch to a protocol that was not indicated by the client in the corresponding request's Upgrade header field. A server MAY choose to ignore the order of preference indicated by the client and select the new protocol(s) based on other factors, such as the nature of the request or the current load on the server.","Although protocol names are registered with a preferred case, recipients SHOULD use case-insensitive comparison when matching each protocol-name to supported protocols.","A server that sends a 426 (Upgrade Required) response MUST send an Upgrade header field to indicate the acceptable protocols, in order of descending preference.",7.8,Upgrade,2,4,2,,Upgrade,,,,,MUST
"A server that sends a 426 (Upgrade Required) response MUST send an Upgrade header field to indicate the acceptable protocols, in order of descending preference.",The server sends a 426 (Upgrade Required) response.,The server MUST send an Upgrade header field indicating the acceptable protocols in order of descending preference.,Server,MUST,"A server that sends a 426 (Upgrade Required) response MUST send an Upgrade header field to indicate the acceptable protocols, in order of descending preference.","A server that sends a 101 (Switching Protocols) response MUST send an Upgrade header field to indicate the new protocol(s) to which the connection is being switched; if multiple protocol layers are being switched, the sender MUST list the protocols in layer-ascending order. A server MUST NOT switch to a protocol that was not indicated by the client in the corresponding request's Upgrade header field. A server MAY choose to ignore the order of preference indicated by the client and select the new protocol(s) based on other factors, such as the nature of the request or the current load on the server.","A server MAY send an Upgrade header field in any other response to advertise that it implements support for upgrading to the listed protocols, in order of descending preference, when appropriate for a future request.",7.8,Upgrade,2,5,1,426,Upgrade,,,,,MUST
"A server MAY send an Upgrade header field in any other response to advertise that it implements support for upgrading to the listed protocols, in order of descending preference, when appropriate for a future request.",When generating any response that is not a 426 (Upgrade Required) and when it is appropriate for a future request to upgrade protocols.,"The server MAY send an Upgrade header field in the response that advertises its support for upgrading to the listed protocols, listed in order of descending preference.",Server,MAY,"A server MAY send an Upgrade header field in any other response to advertise that it implements support for upgrading to the listed protocols, in order of descending preference, when appropriate for a future request.","A server that sends a 426 (Upgrade Required) response MUST send an Upgrade header field to indicate the acceptable protocols, in order of descending preference.",The following is a hypothetical example sent by a client:,7.8,Upgrade,2,6,1,,Upgrade,,,,,MAY
A server MUST NOT switch protocols unless the received message semantics can be honored by the new protocol; an OPTIONS request can be honored by any protocol.,"When a server is set to switch protocols,When the new protocol does not inherently support honoring the semantics of the received message (with the exception that an OPTIONS request is not subject to this requirement)",The server MUST NOT switch protocols unless the new protocol can honor the received message semantics,Server,MUST NOT,"For example, if the Upgrade header field is received in a GET request and the server decides to switch protocols, it first responds with a 101 (Switching Protocols) message in HTTP/1.1 and then immediately follows that with the new protocol's equivalent of a response to a GET on the target resource. This allows a connection to be upgraded to protocols with the same semantics as HTTP without the latency cost of an additional round trip. A server MUST NOT switch protocols unless the received message semantics can be honored by the new protocol; an OPTIONS request can be honored by any protocol.","The capabilities and nature of the application-level communication after the protocol change is entirely dependent upon the new protocol(s) chosen. However, immediately after sending the 101 (Switching Protocols) response, the server is expected to continue responding to the original request as if it had received its equivalent within the new protocol (i.e., the server still has an outstanding request to satisfy after the protocol has been changed, and is expected to do so without requiring the request to be repeated).",The following is an example response to the above hypothetical request:,7.8,Upgrade,2,10,3,,,,OPTIONS,,,MUST
"A sender of Upgrade MUST also send an ""Upgrade"" connection option in the Connection header field (Section 7.6.1) to inform intermediaries not to forward this field.",When a sender includes an Upgrade header field in its request.,"The sender MUST also include an ""Upgrade"" connection option in the Connection header field (Section 7.6.1) to inform intermediaries not to forward the Upgrade field.",Sender,MUST,"A sender of Upgrade MUST also send an ""Upgrade"" connection option in the Connection header field (Section 7.6.1) to inform intermediaries not to forward this field. A server that receives an Upgrade header field in an HTTP/1.0 request MUST ignore that Upgrade field.","[... data stream switches to websocket with an appropriate response (as defined by new protocol) to the ""GET /hello"" request ...]","A client cannot begin using an upgraded protocol on the connection until it has completely sent the request message (i.e., the client can't change the protocol it is sending in the middle of a message). If a server receives both an Upgrade and an Expect header field with the ""100-continue"" expectation (Section 10.1.1), the server MUST send a 100 (Continue) response before sending a 101 (Switching Protocols) response.",7.8,Upgrade,2,14,1,,"Connection,Upgrade",,,,,MUST
